;语言文件格式为: 名称|中文|英文，竖线分割，逗号与分号为注释，///为换行，空行自动忽略
hint_rzchckbxCloudEn|启用透传云时，注册包功能失效！|When enable PUSR Cloud, register package function invalid!
hint_cbbRegDt_Udc|UDC ID默认长度为11位，不足11位请补0|Length must be 11
hint_imgGif|藏这么严，还是被发现了 ^_^ |Hide so strict,also be discovered ^_^ 
info_ComOpenYes|串口已打开|Serial Open Success
info_ComCloseYes|串口已关闭|Serial Close Success
info_ComOpenNo|串口打开失败，请检查该串口是否被其他软件占用！|Failure , please close other software which use this Com Port.
info_ComNoOpen|串口未打开|Serial port is not open
info_DoOver|执行完毕|Operation complete
info_Start0|一般操作流程：|General operation process:
info_Start1|1. 模块连PC串口,上电;|1. Connect the module to PC serial port, power the module
info_Start2|2. 打开串口;|2. Choose serial port NO. Then Click "Open"
info_Start3|3. 获取当前参数;|3. Click "Query all parameters"
info_Start4|4. 选择工作模式,配置相关参数;|4. Choose work mode and configure related parameters
info_Start5|5. 设置所有参数;|5. Click "Set current parameters"
info_Restarting|正在重启...|Restarting...
info_FwUpOver|固件升级完成|Firmware upgrade success
info_FwUpTime|耗时(秒): |Time Used(s): 
info_SlctFwFile|请选择固件|Please select firmware file
info_FwFile|固件文件|Firmware File
info_AllFile|所有文件|All File
info_AbsentFwFlie|请先选择固件|Please select firmware file First
info_ModuleRTS|模块请求发送|Module request to send
info_Sending|发送中...|Sending...
info_ReloadRepower|如果升级未开始,请按住Reload键,同时给模块重新上电|If upgrade does not start,Please hold down the Reload button and power-on again
info_PlsUpFw|请升级固件！|Please upgrade the firmware!
